id,subject,title,url,writer,date,view,recommend
2145,설문,일타강사로 활동하면 잘할 것 같은 스타는?,javascript:;,운영자,22/04/18,-,-
23035,공지,커피 갤러리 정보 모음[2],/mgallery/board/view/?id=coffee&no=23035&page=1,로쁘,22.01.07,4398,8
23033,공지,커피갤 임시 규정 (주딱 구인 중)[5],/mgallery/board/view/?id=coffee&no=23033&page=1,로쁘,22.01.07,2854,10
23817,공지,주딱 호출글,/mgallery/board/view/?id=coffee&no=23817&page=1,로쁘,22.01.17,1835,0
23087,공지,개인 차단 기능 활용법[4],/mgallery/board/view/?id=coffee&no=23087&page=1,로쁘,22.01.08,1746,13
43676,잡담,오 시즈닝 해보니까 랩스윗버,/mgallery/board/view/?id=coffee&no=43676&page=1,펫탄탄메우,07:45,9,0
43675,잡담,스벅욕하면서 개 병신 커피프차라고 하는사람 특)[5],/mgallery/board/view/?id=coffee&no=43675&page=1,ㅇㅇ(121.150),07:19,71,0
43674,잡담,Kmax 미분이 너무 적어서 적응이 안 되네,/mgallery/board/view/?id=coffee&no=43674&page=1,ㅇㅇ(119.193),07:08,26,0
43673,잡담,다들 커피 먹을때 소분해서 먹음 ? [4],/mgallery/board/view/?id=coffee&no=43673&page=1,얍얍엽엽,06:46,53,0
43671,잡담,반자동 갖고싶다...전자동으로 에소 뽑아봤는데,/mgallery/board/view/?id=coffee&no=43671&page=1,주잡가,05:59,36,0
43670,잡담,아스카소 파드머신 2구짜리 중고로 30에 올라왔는데[4],/mgallery/board/view/?id=coffee&no=43670&page=1,ㅇㅇ(121.184),05:46,46,0
43669,잡담,드립백 생각보다 괜찮네[1],/mgallery/board/view/?id=coffee&no=43669&page=1,탈콥갤고닉,05:37,39,1
43668,잡담,욕은 118.235이 먼저박았는데 왜 [1],/mgallery/board/view/?id=coffee&no=43668&page=1,ㅇㅇ(49.143),05:27,65,0
43667,잡담,요즘 칠침봉 이야기가 많아서,/mgallery/board/view/?id=coffee&no=43667&page=1,ㅇㅇ(211.230),05:18,55,0
43666,잡담,난 한강님 심정 이해감.[12],/mgallery/board/view/?id=coffee&no=43666&page=1,crm00(121.175),03:51,175,0
43665,잡담,오랜만에 왔는데 뭔일이야[2],/mgallery/board/view/?id=coffee&no=43665&page=1,ㅇㅇ,03:11,109,0
43664,잡담,일프로커피 프리미엄 블렌딩 ㄱㅊ ?[1],/mgallery/board/view/?id=coffee&no=43664&page=1,ㅇㅇ(119.69),03:00,75,0
43663,잡담,릴본려횡 가능대 릴보너 몰랄둬돼냐?[3],/mgallery/board/view/?id=coffee&no=43663&page=1,ㅇㅇ(211.114),02:40,59,0
43662,잡담,리저브 가고 싶다[2],/mgallery/board/view/?id=coffee&no=43662&page=1,펫탄탄메우,02:39,97,0
43661,잡담,비주류의 슬픔[10],/mgallery/board/view/?id=coffee&no=43661&page=1,ㅇㅇ(223.38),02:32,166,0
43660,잡담,커린이는 싸울일 없어서 행복함[5],/mgallery/board/view/?id=coffee&no=43660&page=1,학식충커린이,02:23,101,0
43659,잡담,향초 블렌드 원두도 괜찮나요?[4],/mgallery/board/view/?id=coffee&no=43659&page=1,백선생의빽다방,02:19,110,0
43658,잡담,사실 스벅 개쓰레기맞음,/mgallery/board/view/?id=coffee&no=43658&page=1,ㅇㅇ(121.150),02:17,87,0
43657,잡담,무지성 강배만 처마시다가[4],/mgallery/board/view/?id=coffee&no=43657&page=1,석탄캐는광부,02:13,105,0
43656,잡담,스벅에대한 개인적인 생각은[8],/mgallery/board/view/?id=coffee&no=43656&page=1,strs(61.77),02:10,197,0
43655,질문,도대체 itop이뭐임..?[7],/mgallery/board/view/?id=coffee&no=43655&page=1,ㅇㅇ(183.98),02:08,127,0
43654,잡담,원두 이곳저곳 눈팅하면서 아이쇼핑중인데[15],/mgallery/board/view/?id=coffee&no=43654&page=1,백선생의빽다방,01:59,137,0
43653,잡담,아…반성합니다[6],/mgallery/board/view/?id=coffee&no=43653&page=1,ㅇㅇ(59.9),01:58,123,0
43652,잡담,커피 잘 모를적에 더치 내려서 먹었는데[2],/mgallery/board/view/?id=coffee&no=43652&page=1,ㅇㅇ(121.146),01:58,80,0
43651,잡담,스벅은 모르겠고 이디야 좋다[6],/mgallery/board/view/?id=coffee&no=43651&page=1,가성비존문가,01:55,102,0
43650,잡담,스타벅스 빠는애들은 맛있다는 증거를 매출로 들이대더라[17],/mgallery/board/view/?id=coffee&no=43650&page=1,ㅇㅇ(223.33),01:50,228,0
43649,잡담,근데 아래 카스 저울 보니까[11],/mgallery/board/view/?id=coffee&no=43649&page=1,원두추천좀,01:50,125,0
43648,잡담,남까는 이야기 들으면 뜨끔한다[3],/mgallery/board/view/?id=coffee&no=43648&page=1,석탄캐는광부,01:49,69,0
43647,잡담,저렇게 무지성으로 까는애도 생긴걸 보니까,/mgallery/board/view/?id=coffee&no=43647&page=1,ㅇㅇ(59.9),01:46,77,0
43646,잡담,와 나도 홍콩 일본 베트남 못가봤는데[10],/mgallery/board/view/?id=coffee&no=43646&page=1,ㅇㅇ(118.42),01:45,76,0
43645,장비,카스 CLCS-100 PLUS 에 물 부어봄[20],/mgallery/board/view/?id=coffee&no=43645&page=1,가성비존문가,01:39,171,4
43644,잡담,커피 좀 마시려고 타임모어 c3 사려고 하는데[5],/mgallery/board/view/?id=coffee&no=43644&page=1,karito,01:38,69,0
43643,잡담,스벅 결점두보고 [11],/mgallery/board/view/?id=coffee&no=43643&page=1,ㅇㅇ,01:35,172,0
43642,잡담,님들 바닐라시럽 사려는디[22],/mgallery/board/view/?id=coffee&no=43642&page=1,수상한사람,01:33,125,0
